node_id,ring,index,clockwise_degrees_from_top,radius_normalized,x_normalized,y_normalized
sentry-01,sentry,1,0,0.67,0.0,0.67
sentry-02,sentry,2,30,0.67,0.335,0.580237
sentry-03,sentry,3,60,0.67,0.580237,0.335
sentry-04,sentry,4,90,0.67,0.67,0.0
sentry-05,sentry,5,120,0.67,0.580237,-0.335
sentry-06,sentry,6,150,0.67,0.335,-0.580237
sentry-07,sentry,7,180,0.67,0.0,-0.67
sentry-08,sentry,8,210,0.67,-0.335,-0.580237
sentry-09,sentry,9,240,0.67,-0.580237,-0.335
sentry-10,sentry,10,270,0.67,-0.67,-0.0
sentry-11,sentry,11,300,0.67,-0.580237,0.335
sentry-12,sentry,12,330,0.67,-0.335,0.580237
scout-01,scout,1,0,1.0,0.0,1.0
scout-02,scout,2,30,1.0,0.5,0.866025
scout-03,scout,3,60,1.0,0.866025,0.5
scout-04,scout,4,90,1.0,1.0,0.0
scout-05,scout,5,120,1.0,0.866025,-0.5
scout-06,scout,6,150,1.0,0.5,-0.866025
scout-07,scout,7,180,1.0,0.0,-1.0
scout-08,scout,8,210,1.0,-0.5,-0.866025
scout-09,scout,9,240,1.0,-0.866025,-0.5
scout-10,scout,10,270,1.0,-1.0,-0.0
scout-11,scout,11,300,1.0,-0.866025,0.5
scout-12,scout,12,330,1.0,-0.5,0.866025
