filename,path,ext,size_MB,modified,preview,json_type,json_list_len,csv_cols,csv_rows_sampled,json_error
NFT_Storage_CSV_Template___EV0L_Codex 2.csv,NFT_Storage_CSV_Template___EV0L_Codex 2.csv,.csv,0.001,2025-10-17T11:10:21.785044,,,,"token_id,name,metadata_json_path,image_cid_placeholder,metadata_cid",2.0,
bafkreigwicgte6pvedd4thvlzqkoregytn4ug6zpyanrcecxny4aiasvtu.csv,bafkreigwicgte6pvedd4thvlzqkoregytn4ug6zpyanrcecxny4aiasvtu.csv,.csv,0.001,2025-10-17T11:10:20.796606,,,,"token_id,name,metadata_json_path,image_cid_placeholder,metadata_cid",2.0,
3.5 2.html,3.5 2.html,.html,0.296,2025-10-17T11:10:21.786039,,,,,,
3.5.html,3.5.html,.html,0.296,2025-10-17T11:10:22.207111,,,,,,
coding-agent.html,coding-agent.html,.html,0.292,2025-10-17T11:10:21.693214,,,,,,
license.html,license.html,.html,0.059,2025-10-17T11:10:19.068609,,,,,,
nf-winsock-recv 2.html,nf-winsock-recv 2.html,.html,0.054,2025-10-17T11:10:20.581372,,,,,,
nf-winsock-recv.html,nf-winsock-recv.html,.html,0.054,2025-10-17T11:10:20.692689,,,,,,
conversations 2.json,conversations 2.json,.json,1.276,2025-10-17T11:10:22.000025,,,,,,Unterminated string starting at: line 1 column 1337837 (char 1337836)
conversationshh 3.json,conversationshh 3.json,.json,1.276,2025-10-17T11:10:21.384586,,,,,,Unterminated string starting at: line 1 column 1337837 (char 1337836)
conversationshh 4.json,conversationshh 4.json,.json,1.276,2025-10-17T11:10:21.896355,,,,,,Unterminated string starting at: line 1 column 1337837 (char 1337836)
conversationshh.json,conversationshh.json,.json,1.276,2025-10-17T11:10:21.789147,,,,,,Unterminated string starting at: line 1 column 1337837 (char 1337836)
export-v0Lver-1759259993.json,export-v0Lver-1759259993.json,.json,0.0,2025-10-17T11:10:20.482324,,list,1.0,,,
metavault_batch_mint.py,metavault_batch_mint.py,.py,0.002,2025-10-17T11:10:22.434971,,,,,,
EV0L_Outreach_Checklist 2.txt,EV0L_Outreach_Checklist 2.txt,.txt,0.001,2025-10-17T11:10:21.886795, ✅ STEP-BY-STEP INVESTOR OUTREACH CHECKLIST:  1. Finalize your pitch deck and upload it to your EV0L server. 2. Copy the prewritten email from the 'Emails' folder. Send to:    - a16z    - Sequoia    -,,,,,
EV0L_Outreach_Checklist.txt,EV0L_Outreach_Checklist.txt,.txt,0.001,2025-10-17T11:10:20.581062, ✅ STEP-BY-STEP INVESTOR OUTREACH CHECKLIST:  1. Finalize your pitch deck and upload it to your EV0L server. 2. Copy the prewritten email from the 'Emails' folder. Send to:    - a16z    - Sequoia    -,,,,,
Soooo .txt,Soooo .txt,.txt,1.276,2025-10-17T11:10:22.422812,"[{""title"": ""Device categorization and additions"", ""create_time"": 1757107244.409512, ""update_time"": 1757110427.661827, ""mapping"": {""9bc88787-5aae-4488-8126-3019d0502237"": {""id"": ""9bc88787-5aae-4488-812",,,,,
github-recovery-codes.txt,github-recovery-codes.txt,.txt,0.0,2025-10-17T11:10:20.581111,5ee79-db662 111e5-d433c 01b13-657a0 81c0c-f960c 198b0-98f60 1d1b8-66736 2b44e-988f3 b015d-5d0f1 14745-ef5df b2f78-6f617 bee44-a7b18 b1c6d-6d9e6 894bc-c3557 9be94-d28ad ce856-0a53b 0cbe8-cb8a6,,,,,
ArweaveALL 2.zip,ArweaveALL 2.zip,.zip,0.368,2025-10-17T11:10:19.460090,,,,,,
ArweaveALL 3.zip,ArweaveALL 3.zip,.zip,0.368,2025-10-17T11:10:20.582473,,,,,,
ArweaveALL 4.zip,ArweaveALL 4.zip,.zip,0.368,2025-10-17T11:10:20.981997,,,,,,
ArweaveALL.zip,ArweaveALL.zip,.zip,0.368,2025-10-17T11:10:21.694240,,,,,,
ArweaveSealSVG.zip,ArweaveSealSVG.zip,.zip,0.019,2025-10-17T11:10:21.697505,,,,,,
MEGA_BLEU_PACK.zip,MEGA_BLEU_PACK.zip,.zip,0.006,2025-10-17T11:10:22.003613,,,,,,
b”0.zip,b”0.zip,.zip,0.019,2025-10-17T11:10:20.581224,,,,,,
cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-08-14-17-30-57-a3f799ccd158416fab000073e45b6081.zip 2.zip,cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-08-14-17-30-57-a3f799ccd158416fab000073e45b6081.zip 2.zip,.zip,0.001,2025-10-17T11:10:20.481890,,,,,,
cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-08-14-17-30-57-a3f799ccd158416fab000073e45b6081.zip 3.zip,cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-08-14-17-30-57-a3f799ccd158416fab000073e45b6081.zip 3.zip,.zip,0.001,2025-10-17T11:10:20.581440,,,,,,
